"","x"
"team_Troy",-3.25970089642761
"team_Tulane",-2.77229907718039
"team_Tulsa",-1.36925550468226
"team_UAB",-1.36419822415428
"team_UALR",-2.50777310735123
"team_UC Davis",-4.95265781381286
"team_UC Irvine",-3.12270451979001
"team_UC Riverside",-3.04419708214559
"team_UC Santa Barb.",-1.53900100849449
"team_UCF",-0.750409020432063
"team_UCLA",-1.32100986118113
"team_UMBC",-6.32620747738523
"team_UMKC",-3.79314431718486
"team_UNC-Asheville",-1.91793366353525
"team_UNC-Greensboro",-3.31956104040567
"team_UNC-Wilmington",-2.99805927088821
"team_UNI",-0.750507806560526
"team_UNLV",0.31206042210823
"team_USC",-3.55615363306255
"team_Utah",-3.76671457300065
"team_Utah State",-2.47115522864382
"team_Utah Valley",-3.05249911914946
"team_UTEP",-1.97340709531713
"team_UTPA",-4.46213889280032
"team_UTSA",-2.58371925191433
"team_Valparaiso",-1.29880365340825
"team_Vanderbilt",0.382641417092063
"team_VCU",0.0848992845940347
"team_Vermont",-2.06351730938982
"team_Villanova",-1.23387920173832
"team_Virginia Tech",-1.39526513128682
"team_VMI",-3.87571942805808
"team_Wagner",-0.732065505677966
"team_Wake Forest",-1.98203421698664
"team_Washington",-0.701878980383026
"team_Washington St.",-2.17779188156661
"team_Weber State",-1.01368010567503
"team_West Virginia",-0.388848354646227
"team_Western Caro.",-2.83982915916639
"team_Western Illinois",-2.28572038686637
"team_Western Ky.",-2.51357830288383
"team_Western Mich.",-2.76023788806687
"team_Wichita State",1.06952901037897
"team_William & Mary",-4.25364935756851
"team_Winthrop",-4.09043074213434
"team_Wisconsin",0.958937350022999
"team_Wofford",-2.40930949715831
"team_Wright State",-2.51528327724352
"team_Wyoming",-0.941303206662764
"team_Xavier",-0.552773861207616
"team_Yale",-1.45706120187767
"team_Youngstown St.",-2.11297754408322
"at.home",0.642073601728072
